model,fold,text,true_label,predicted_label
Typhoon2-3B,1,ผู้ถูกร้องใช้อำนาจหน้าที่กระทำการเอื้อประโยชน์แก่ญาติของตนเพื่อเข้ามาเป็นคู่สัญญาโครงการปรับปรุงภูมิทัศน์บริเวณสำนักงานใหม่ กับเทศบาลตำบล ว. เมื่อปี พ.ศ. 2564 ทำให้กรรมการตรวจรับไม่กล้าปฏิเสธรับงานจ้าง,10,0
Typhoon2-3B,1,"กรณีผู้ถูกร้องที่ 2 ลักลอบใช้ไฟฟ้าหลวง โดยมีการนำกล้องวงจรปิดและคอมพิวเตอร์ส่วนตัวมาเปิดในที่ทำงานตลอด 24 ชั่วโมง เพื่อขุดเหรียญบิตคอยน์  อีกทั้งใช้เวลาราชการไปทำธุระส่วนตัวบ่อยครั้ง แต่ผู้ถูกร้องที่ 1 กลับไม่ว่ากล่าวตักเตือนและช่วยเหลือผู้ถูกร้องที่ 2 และผู้ถูกร้องที่ 2 ยังมีพฤติการหลบเลี่ยงไม่ส่งคืนเงินยืมทดรองราชการกรณีเดินทางไปสาธารณรัฐเกาหลี จำนวน 498,000 บาท เป็นเหตุให้หน่วยงานรัฐได้รับความเสียหาย",10,0
Typhoon2-3B,1,"ประเด็นที่ ๑ การจัดจ้างเหมาบริการบุคคล ไม่เป็นไปตามระเบียบของทางราชการ หนังสือสั่งการ 
โดยองค์การบริหารส่วนตำบลโคกเพชรมีการจ้างเหมาบริการบุคคล จำนวน ๑๔ คน และผู้ที่เข้ามาทำงานเป็นพรรคพวกตนเอง มีการร่างขอบเขตของงาน จากนั้นเรียกบุคคลดังกล่าวมาสัญญาเพื่อทำงาน ซึ่งเป็นการเลี่ยงกฎหมายซึ่งตามพระราชบัญญัติระเบียบบริหารงานบุคคลส่วนท้องถิ่น พ.ศ. ๒๕๔๒ มาตรา ๓๕ ทั้งที่องค์การบริหารส่วนตำบลโคกเพชรมีพนักงานส่วนตำบลและลูกจ้าง จำนวนทั้งหมด ๓๐ คน ซึ่งเพียงพอต่อการให้บริหารแก่ประชาชนและทำงานในด้านต่างๆ ได้ และมีภาระค่าใช้กำลังจะเกินร้อยละ ๔๐ เปอร์เซ็นต์ของเงินงบประมาณรายจ่าย ทำให้กำหนดกรอบอัตราพนักงานจ้างไม่ได้อีก จึงเลี่ยงระเบียบดังกล่าวและดำเนินการจ้างเหมาบริการ โดยนาย ส. หัวหน้าสำนักปลัด จะเป็นผู้จัดหาพรรคพวกที่เป็นฐานเสียงของนายกองค์การบริหารส่วนตำบลโคกเพชร และเครือญาติของนาย ส. หัวหน้าสำนักปลัด เข้ามาทำงานจ้างเหมาบริการ ทั้งเป็นผู้ที่ศึกษาระเบียบและหาวิธีการเพื่อหลีกเลี่ยงหลักเกณฑ์ ให้แต่ละสำนักเสนอรายงานปัญหาอุปสรรค โดยอ้างว่ามีเจ้าหน้าที่ไม่พอที่จะบริการประชาชน เมื่อนายกองค์การบริหารส่วนตำบลได้รับทราบปัญหาดังกล่าวแล้วก็จะสั่งการให้หัวหน้าสำนักปลัด ผอ.กองคลัง และเจ้าหน้าที่พัสดุ ดำเนินการจัดซื้อจัดจ้างเหมาบริการบุคคลตามที่เลือกสรรมา โดยให้คณะกรรมการตรวจการจ้างตามที่กำหนดไว้ในรายขอบเขตงาน TOR ตามแบบฟอร์มให้บุคคลได้จ้างเหมากรอกข้อมูลอันเป็นเท็จจริงซึ่งไม่เป็นความจริง เพื่อเป็นหลักฐานในการตรวจงานจ้างอันเป็นเท็จ ทั้งที่ไม่มีความจำเป็นต้องจ้างเอกชนเพื่อเสริมการปฏิบัติงานตามหน้าที่ปกติ เนื่องจากมีพนักงานส่วนตำบลและลูกจ้างที่ปฏิบัติหน้าที่ตามหน้าที่ปกติอยู่แล้ว จึงขอให้หน่วยตรวจสอบได้เรียกดูเอกสารฎีการการเบิกจ่ายเงินค่าจ้างบริการตั้งแต่ปี ๒๕๕๙ จนถึงปี ๒๕๖๖ โดยการกระทำดังกล่าวของเจ้าหน้าที่ที่เกี่ยวข้องจึงเป็นการร่วมกันไม่ปฏิบัติตามระเบียบของทางราชการและเพื่อให้พรรคพวกของตนเองได้รับประโยชน์ที่มิชอบด้วยกฎหมาย คือได้รับเงินค่าจ้าง ทั้งที่ในแต่ละวันไม่ได้ทำงานอะไรเลย กรณีจึงเป็นการใช้อำนาจตำแหน่งหน้าที่โดยมิชอบ ไม่เป็นปฏิบัติตามหลักเกณฑ์การเบิกจ่ายเงินค่าจ้างเหมาบริหารขององค์กรปกครองส่วนท้องถิ่นเป็นเหตุราชการต้องสูญเสียงบประมาณโดยเปล่าประโยชน์และเกินความจำเป็น
              ประเด็นที่ ๒ ทุจริตโครงการดูงานเพื่อเพิ่มพูนความรู้หรือประสบการณ์ โดยบุคคลที่เป็นจ้างเหมาบริหาร ซึ่งไม่มีสิทธิเข้าศึกษาดูงานโครงการดูงานที่องค์การบริหารส่วนตำบลโคกเพชรเพชรจัดขึ้น แต่กลับได้เข้าร่วมโครงการดังกล่าวซึ่งจัดไปเที่ยว ไปถ่ายรูป ไปกิน มีการดูงานของทางราชการแค่วันละ ๑-๒ ชั่วโมงเท่านั้น จึงเป็นการจัดทำโครงการโดยนำเอาบุคคลภายนอกร่วมเดินทางไปโดยไม่สิทธิและบางครั้งในการดูงานตามโครงการดังกล่าวถ้าเจ้าหน้าที่ท้องถิ่น ผู้บริหารท้องถิ่น สมาชิกสภาท้องถิ่น บางคนไม่ได้เดินทางร่วมไปก็จะให้บุคคลที่ได้รับการจ้างเหมาร่วมเดินทางไปแทน แต่ยังใส่ชื่อเจ้าหน้าที่ท้องถิ่น ผู้บริหารท้องถิ่น สมาชิกสภาท้องถิ่น ให้เป็นผู้ร่วมเดินทางไปดูงานอยู่เหมือนเดิมทั้งที่ไม่ได้ร่วมเดินทางไปด้วย การกระทำดังกล่าวเป็นการสิ้นเปลืองในการใช้จ่ายเงินงบประมาณทำให้ราชการเสียหายอย่างร้ายแรง เป็นความผิดทางอาญาและวินัยอย่างร้ายแรงขอให้หน่วยตรวจสอบได้เรียกดูฎีกา ตั้งแต่ปี พ.ศ. ๒๕๕๙ เป็นต้นมาถึงปัจจุบัน 
",10,0
Typhoon2-3B,1,ทุจริตปลอมวุฒิการศึกษาเพื่อบรรจุเข้ารับราชการ ในตำแหน่ง นายช่างโยธาระดับ 1 และขอให้ตรวจสอบการทุจริตติดตั้งเสาไฟฟ้าโซลาร์เซลล์,5,0
Typhoon2-3B,1,ประมาทเลินเล่อมึนเมาขับรถราชการจนเกิดอุบัติเหตุ,5,0
Typhoon2-3B,1,ออกคำสั่งถอดถอนที่ปรึกษานายกเทศมนตรีโดยไม่ชอบด้วยกฎหมาย และเรียกรับทรัพย์สิน,5,0
Typhoon2-3B,1,การแต่งตั้งคณะกรรมการธรรมาภิบาล ตามคำสั่งมหาวิทยาลัยราชภัฏเพชรบุรีไม่ชอบด้วยกฎหมาย,5,0
Typhoon2-3B,1,ขอร้องเรียนเกี่ยวกับหลักเกณฑ์และวิธีการประเมินสมรรถนะในการสอบคัดเลือกพนักงานราชการทั่วไปในกรมที่ดิน จังหวัดสุราษฎร์ธานีตำแหน่งพนักงานคอมพิวเตอร์,5,0
Typhoon2-3B,1,มีการทุจริตการสอบคัดเลือกและดำเนินการสอบคัดเลือกที่ไม่โปร่งใสของอบต.เคียนซา,5,0
Typhoon2-3B,1,เข้ามีส่วนได้เสียในการจัดซื้อข้าวกล่องแจกประชาชนผู้ประสบภัยน้ำท่วม,2,0
